,Conditions,Drug,Smiles,Phases,Disease
0,HIV Infections,Enfuvirtide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(=O)N)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC7=CC=CC=C7)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC8=CN=CN8)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C,APPROVED,immune_system_disease
4,Status Asthmaticus|Asthma,Montelukast,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,PHASE2|PHASE3,immune_system_disease
5,Status Asthmaticus|Asthma,Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,PHASE2|PHASE3,immune_system_disease
6,Status Asthmaticus|Asthma,Ciclosporin,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,PHASE2|PHASE3,immune_system_disease
7,Recurrent Mantle Cell Lymphoma|Refractory Mantle Cell Lymphoma,Copanlisib,COC1=C(C=CC2=C3NCCN3C(=NC(=O)C4=CN=C(N=C4)N)N=C21)OCCCN5CCOCC5,PHASE1|PHASE2,immune_system_disease
8,Recurrent Mantle Cell Lymphoma|Refractory Mantle Cell Lymphoma,Venetoclax,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,PHASE1|PHASE2,immune_system_disease
9,Multiple Myeloma|Lymphoma,Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,PHASE1,immune_system_disease
10,Multiple Myeloma,Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PHASE2,immune_system_disease
11,Multiple Myeloma,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,PHASE2,immune_system_disease
12,Brain and Central Nervous System Tumors|Drug/Agent Toxicity by Tissue/Organ|Lymphoma|Thrombocytopenia,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,PHASE2,immune_system_disease
13,Brain and Central Nervous System Tumors|Drug/Agent Toxicity by Tissue/Organ|Lymphoma|Thrombocytopenia,Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,PHASE2,immune_system_disease
14,Brain and Central Nervous System Tumors|Drug/Agent Toxicity by Tissue/Organ|Lymphoma|Thrombocytopenia,Carboplatin,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],PHASE2,immune_system_disease
16,Brain and Central Nervous System Tumors|Drug/Agent Toxicity by Tissue/Organ|Lymphoma|Thrombocytopenia,Cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,PHASE2,immune_system_disease
17,Mantle Cell Lymphoma,Fludarabine,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,PHASE2,immune_system_disease
18,Mantle Cell Lymphoma,Mitoxantrone,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,PHASE2,immune_system_disease
20,Rheumatoid Arthritis,Naltrexone,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,APPROVED,immune_system_disease
21,Rheumatoid Arthritis,Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,APPROVED,immune_system_disease
22,"Lymphoma, Non-Hodgkin|HIV Infections",Bleomycin,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,PHASE1,immune_system_disease
23,"Lymphoma, Non-Hodgkin|HIV Infections",Vincristine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,PHASE1,immune_system_disease
24,"Lymphoma, Non-Hodgkin|HIV Infections",Doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,PHASE1,immune_system_disease
25,"Lymphoma, Non-Hodgkin|HIV Infections",Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PHASE1,immune_system_disease
26,"Lymphoma, Non-Hodgkin|HIV Infections",Leucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PHASE1,immune_system_disease
28,HIV Infections,Stavudine,CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,PHASE2,immune_system_disease
29,HIV Infections,Zidovudine,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],PHASE2,immune_system_disease
31,Recurrent and Refractory B-cell Non-Hodgkin's Lymphoma,Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,PHASE2,immune_system_disease
32,Recurrent and Refractory B-cell Non-Hodgkin's Lymphoma,Oxaliplatin,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],PHASE2,immune_system_disease
33,"Severe Combined Immunodeficiency Disease, X-linked",Busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,PHASE1|PHASE2,immune_system_disease
35,"Lymphoma|Leukemia, Lymphocytic, Chronic, B-Cell",Ibrutinib,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,PHASE1|PHASE2,immune_system_disease
36,"Lymphoma|Leukemia, Lymphocytic, Chronic, B-Cell",Bendamustine,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,PHASE1|PHASE2,immune_system_disease
37,Diffuse Large B Cell Lymphoma,Prednisone,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,PHASE1,immune_system_disease
38,"Lymphoma, Non-Hodgkin|Blood and Marrow Transplant (BMT)",Ibritumomab,CC(CN(CC(CC1=CC=C(C=C1)NC(=O)NC)N(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,PHASE1,immune_system_disease
39,"Diabetes Mellitus, Type 1",Sirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,PHASE1,immune_system_disease
40,Insomnia,Temazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,APPROVED,immune_system_disease
42,Clonal Cytopenia of Undetermined Significance|High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Hodgkin Lymphoma|Recurrent Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Lymphoma,Cisplatin,N.N.Cl[Pt]Cl,PHASE2,immune_system_disease
43,Clonal Cytopenia of Undetermined Significance|High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Hodgkin Lymphoma|Recurrent Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Lymphoma,Ifosfamide,C1CN(P(=O)(OC1)NCCCl)CCCl,PHASE2,immune_system_disease
45,Rheumatoid Arthritis,Tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,PHASE1,immune_system_disease
