,Conditions,Drug,Smiles,Phases,Disease
0,Metastatic Colorectal Cancer,Irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,PHASE1|PHASE2,digestive_system_disease
1,Ulcerative Colitis|Left-sided Ulcerative Colitis|Distal Ulcerative Colitis,Mesalazine,C1=CC(=C(C=C1N)C(=O)O)O,PHASE2,digestive_system_disease
2,Ulcerative Colitis|Left-sided Ulcerative Colitis|Distal Ulcerative Colitis,Mesalamine,C1=CC(=C(C=C1N)C(=O)O)O,PHASE2,digestive_system_disease
3,HER-2 Positive Gastric Cancer|Metastatic Cancer,Capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,PHASE2,digestive_system_disease
4,HER-2 Positive Gastric Cancer|Metastatic Cancer,Cisplatin,N.N.Cl[Pt]Cl,PHASE2,digestive_system_disease
5,Minimal Hepatic Encephalopathy,Rifaximin,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,PHASE1|PHASE2,digestive_system_disease
6,"Cancer|Pancreatic Cancer|Sarcoma|Renal Cancer|Refractory Cancer|Refractory Neoplasm|Refractory Non-Hodgkin Lymphoma|Pancreatic Adenocarcinoma|Resistant Cancer|Neoplasm Metastasis|Neoplasm of Bone|Neoplasm, Breast|Neoplasm of Lung|Neoplasms,Colorectal|Neoplasms Pancreatic|Malignant Glioma|Malignancies|Malignancies Multiple|Bone Metastases|Bone Neoplasm|Bone Cancer|Pancreas Cancer|Pancreatic Neoplasms|Breast Neoplasms|Acute T Cell Leukemia Lymphoma",Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,PHASE2,digestive_system_disease
7,"Cancer|Pancreatic Cancer|Sarcoma|Renal Cancer|Refractory Cancer|Refractory Neoplasm|Refractory Non-Hodgkin Lymphoma|Pancreatic Adenocarcinoma|Resistant Cancer|Neoplasm Metastasis|Neoplasm of Bone|Neoplasm, Breast|Neoplasm of Lung|Neoplasms,Colorectal|Neoplasms Pancreatic|Malignant Glioma|Malignancies|Malignancies Multiple|Bone Metastases|Bone Neoplasm|Bone Cancer|Pancreas Cancer|Pancreatic Neoplasms|Breast Neoplasms|Acute T Cell Leukemia Lymphoma",Doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,PHASE2,digestive_system_disease
8,"Cancer|Pancreatic Cancer|Sarcoma|Renal Cancer|Refractory Cancer|Refractory Neoplasm|Refractory Non-Hodgkin Lymphoma|Pancreatic Adenocarcinoma|Resistant Cancer|Neoplasm Metastasis|Neoplasm of Bone|Neoplasm, Breast|Neoplasm of Lung|Neoplasms,Colorectal|Neoplasms Pancreatic|Malignant Glioma|Malignancies|Malignancies Multiple|Bone Metastases|Bone Neoplasm|Bone Cancer|Pancreas Cancer|Pancreatic Neoplasms|Breast Neoplasms|Acute T Cell Leukemia Lymphoma",Lomustine,C1CCC(CC1)NC(=O)N(CCCl)N=O,PHASE2,digestive_system_disease
9,"Cancer|Pancreatic Cancer|Sarcoma|Renal Cancer|Refractory Cancer|Refractory Neoplasm|Refractory Non-Hodgkin Lymphoma|Pancreatic Adenocarcinoma|Resistant Cancer|Neoplasm Metastasis|Neoplasm of Bone|Neoplasm, Breast|Neoplasm of Lung|Neoplasms,Colorectal|Neoplasms Pancreatic|Malignant Glioma|Malignancies|Malignancies Multiple|Bone Metastases|Bone Neoplasm|Bone Cancer|Pancreas Cancer|Pancreatic Neoplasms|Breast Neoplasms|Acute T Cell Leukemia Lymphoma",Carboplatin,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],PHASE2,digestive_system_disease
