,Unnamed: 0,Conditions,Drug,Smiles,Phases,Study Status,Disease
6568,5636,Renal Impairment|Renal Disease|Kidney Disease,Nitazoxanide,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],PHASE1,,urinary_system_disease
6567,5631,Advanced or Metastatic Hepatocellular Cancer|Advanced or Metastatic Ovarian Cancer|Metastatic Renal Cell Cancer|Advanced or Metastatic Gastric Carcinoma,Tasquinimod,CN1C2=C(C(=CC=C2)OC)C(=C(C1=O)C(=O)N(C)C3=CC=C(C=C3)C(F)(F)F)O,PHASE2,,urinary_system_disease
6566,5585,"Sepsis|Community-acquired Pneumonia|Urinary Tract Infections|Cholecystitis, Acute|Cholangitis Acute|Intraabdominal Infections",Allocetra,,PHASE2,,urinary_system_disease
6565,5584,Healthy|Renal Impairment,Cenerimod,CCC1=C(C(=CC(=C1)C2=NOC(=N2)C3=CC(=NC(=C3)OC)C4CCCC4)C)OCC(CO)O,PHASE1,,urinary_system_disease
6564,5582,Diabetic Kidney Disease|Diabetic Nephropathy|Diabetes Mellitus|Glucagon-Like Peptide 1,Lixisenatide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NCC(=O)NCC(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N4CCCC4C(=O)N5CCCC5C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CC6=CC=CC=C6)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC8=CNC=N8)N,APPROVED,,urinary_system_disease
6563,5566,"Type 2 Diabetes Mellitus, CKD and Albuminuria",Saxagliptin,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,PHASE2|PHASE3,,urinary_system_disease
6562,5557,Healthy Subjects|Renal Impairments,Levetiracetam,CCC(C(=O)N)N1CCCC1=O,APPROVED,,urinary_system_disease
6561,5554,Chronic Kidney Disease on Hemodialysis|Secondary Hyperparathyroidism,Maxacalcitol,CC(C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)OCCC(C)(C)O,PHASE2,,urinary_system_disease
6560,5533,Renal Insufficiency,Certoparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,PHASE1|PHASE2,,urinary_system_disease
6559,5523,Advanced Kidney Cancer|Kidney Cancer|Clear Cell Renal Cell Carcinoma,Guadecitabine,C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OC4CC(OC4CO)N5C=NC(=NC5=O)N)O,PHASE1|PHASE2,,urinary_system_disease
6558,5516,Non-Muscle Invasive Bladder Urothelial Carcinoma|Recurrent Non-Muscle Invasive Bladder Urothelial Carcinoma,Apalutamide,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F,PHASE1,,urinary_system_disease
6557,5480,Kidney Disease,Bremelanotide,CCCCC(C(=O)NC1CC(=O)NCCCCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CC2=CN=CN2)CC3=CC=CC=C3)CCCN=C(N)N)CC4=CNC5=CC=CC=C54)C(=O)O)NC(=O)C,PHASE2,,urinary_system_disease
6556,5454,Nephrotic Syndrome,Alirocumab,,PHASE2,,urinary_system_disease
6555,5445,Chronic Hepatitis C|End Stage Renal Disease,Boceprevir,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,APPROVED,,urinary_system_disease
6554,5431,Schizophrenia|Renal Impairment,Paliperidone,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,PHASE1,,urinary_system_disease
6553,5413,Kidney Calculi,Remifentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC,APPROVED,,urinary_system_disease
6552,5395,End Stage Renal Disease,Oseltamivir,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,PHASE1,,urinary_system_disease
6551,5355,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Vismodegib,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,PHASE2,,urinary_system_disease
